Date,Time,RSSI(dB),RxBt(V),GAlt(m),RPM(rpm),GPS(ait),GSpd(kts),Hdg(@),Tmp1(@C),Tmp2(@C),GAl2(m),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2020-04-10,10:27:53.700,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,0,5,-275,0,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:54.200,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,0,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:54.700,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,0,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:55.200,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,0,5,-275,0,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:55.700,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,0,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:56.200,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,0,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:56.700,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:57.220,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:57.800,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,2,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:58.390,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:58.930,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:59.430,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:59.930,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:00.430,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:00.930,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,0,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:01.430,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:01.930,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:02.430,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:02.930,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:03.430,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,0,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:03.930,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:04.430,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:04.930,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:05.430,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:05.930,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,0,5,-275,0,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:06.430,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,0,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:28:06.930,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,0,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
